sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;voltage;
1584543444;379873;1159;871588;1584543444;379823;0.005714286;
1584543444;480781;1159;978727;1584543444;480734;0.006153846;
1584543444;582823;1160;74601;1584543444;582769;0.005274725;
1584543444;682643;1160;175302;1584543444;682601;0.005274725;
1584543444;783078;1160;274951;1584543444;783036;0.01494505;
1584543444;884376;1160;374817;1584543444;884329;0.006153846;
1584543444;986957;1160;478593;1584543444;985657;0.005274725;
1584543445;86985;1160;579490;1584543445;86931;0.005274725;
1584543445;187857;1160;679562;1584543445;187809;0.005714286;
1584543445;288365;1160;780468;1584543445;288316;0.008791209;
1584543445;389434;1160;881477;1584543445;389385;0.005274725;
1584543445;490732;1160;983280;1584543445;490676;0.01274725;
1584543445;591064;1161;82972;1584543445;591022;0.01538462;
1584543445;691911;1161;183972;1584543445;691869;0.005274725;
1584543445;793468;1161;290279;1584543445;793419;0.005274725;
1584543445;899508;1161;389891;1584543445;899469;0.005274725;
1584543446;986;1161;491454;1584543446;942;0.005714286;
1584543446;103493;1161;595986;1584543446;103448;0.007472527;
1584543446;204493;1161;698061;1584543446;204446;0.01142857;
1584543446;305291;1161;798235;1584543446;305242;0.005274725;
1584543446;405250;1161;898048;1584543446;405149;0.005274725;
1584543446;506500;1161;999508;1584543446;506444;0.004835165;
1584543446;607761;1162;100239;1584543446;607716;0.006153846;
1584543446;708333;1162;201197;1584543446;708290;0.005274725;
1584543446;809394;1162;302836;1584543446;809349;0.004835165;
1584543446;910651;1162;402353;1584543446;910594;0.005274725;
1584543447;10391;1162;502916;1584543447;10345;0.004835165;
1584543447;111077;1162;603092;1584543447;111032;0.005274725;
1584543447;211934;1162;704160;1584543447;211887;0.005274725;
1584543447;313296;1162;805167;1584543447;313251;0.005274725;
1584543447;414663;1162;923080;1584543447;414606;0.005274725;
1584543447;515082;1163;7289;1584543447;515037;0.005274725;
1584543447;616325;1163;108771;1584543447;616279;0.005714286;
1584543447;717369;1163;209499;1584543447;717323;0.005274725;
1584543447;819855;1163;312422;1584543447;819801;0.005274725;
1584543447;920652;1163;413453;1584543447;920597;0.01318681;
1584543448;21314;1163;513170;1584543448;21266;0.005714286;
1584543448;122578;1163;615141;1584543448;122533;0.01142857;
1584543448;222915;1163;715520;1584543448;222866;0.005714286;
